winning_img_merchant,contactid,asin,is_index_suppressed,has_leaf_node,has_keywords,bullet_point_count,qty_website_images,has_description,idq_grade,reporting_country
27492196102,0033g000008YI95AAG,B09GM8PY7R,0,1,1,0,8,1,B,SG
27057418722,0033g000008Wv84AAC,B09P4KZ9YD,0,1,1,0,3,1,B,SG
51095669502,0031R00001wVPK3QAO,B088Q8R1TP,0,0,1,5,9,1,B,SG
4.02662E+11,0033g000011uM3JAAU,B09MT161BN,1,1,0,0,7,0,E,SG
995545110,0031R00002D1ierQAB,B08776XXX9,0,1,1,0,9,0,D,SG
1461840901,0033g000006wv9AAAQ,B08DHF47N4,0,0,1,5,8,1,B,SG
1.20334E+11,0031R000028MppTQAS,B09SXQWBMX,0,1,0,5,5,1,B,MY
1.34001E+11,0031R00002BtWTzQAN,B088NF46BY,0,1,1,5,1,1,B,SG
4.325E+11,0033g000015Ob9VAAS,B09S4PZ4VQ,0,1,0,5,2,1,B,ID
1.91612E+11,0033g000007t4eeAAA,B09DL9LLT6,1,0,0,0,7,0,F,SG
48964527002,0033g000015ntQzAAI,B09SDKJYTZ,0,1,1,0,5,0,C,ID
57676930402,0033600001nOus6AAC,B083M8NG73,0,1,0,0,6,1,B,SG
1.53174E+11,0031R00002Fi5XZQAZ,B091G9TWJ6,0,1,1,3,2,1,B,SG
56448237,0033g00000zUIDMAA4,B09V16LCMJ,0,1,0,10,7,1,B,SG
1.62553E+11,0033g00000CvaAlAAJ,B08HKS7PFS,0,1,1,5,1,1,B,SG
1225225681,0031R000021kODuQAM,B09J4VXGVT,0,1,0,5,6,0,C,SG
61090433302,0033600001pmgW6AAI,B083M1MJS4,0,1,1,5,5,0,B,SG
39977842705,0031R000020CZ2wQAG,B09GRVMMPK,0,1,0,6,7,1,B,SG
77188992402,0031R00001w1kWBQAY,B09J3J32Z4,0,1,1,5,4,0,B,MY
4.13872E+11,0033g000014iZz7AAE,B09SH22F3D,0,1,1,5,6,0,B,ID
15814974802,0033600001BCQTxAAP,B0894XCH5X,0,1,1,0,1,1,C,SG
72095149302,0031R00001x4VL8QAM,B07L75WY19,1,1,1,5,7,1,F,SG
1.00488E+11,0033600000XnRFrAAN,B091KTLMXJ,1,1,1,5,9,1,F,SG
2.21005E+11,0033g000008mnB3AAI,B08T9XMC6H,0,1,1,0,5,1,B,SG
1460859191,0033g00000uSzhzAAC,B09FB11Z6X,0,1,1,0,8,1,B,MY
1.80347E+11,0033g000005Vje1AAC,B09PY78FMG,0,1,0,2,1,1,C,MY
2.38511E+11,0033g000009gKepAAE,B08HK232JD,0,0,1,5,7,1,F,SG
1.60913E+11,0031R00002HBwMkQAL,B08CL1YPV8,1,1,0,0,9,0,F,MY
2.01905E+11,0033g0000087tfhAAA,B08HSD2VG6,1,1,1,5,7,1,F,SG
1.32353E+11,0031R00002BZbdvQAD,B09MCXSD8C,0,0,1,5,6,1,B,KH
2.19687E+11,0033g000008YHiLAAW,B098P8D285,0,0,1,5,1,1,B,MY
61090433302,0033600001pmgW6AAI,B08KDCK932,0,1,1,5,1,1,B,SG
2.01905E+11,0033g0000087tfhAAA,B08HSC5RCF,1,1,1,5,7,1,F,SG
1.27522E+11,0031R00002AiZ5WQAV,B0927YRBFM,0,1,1,0,6,1,B,SG
76170752702,0031R00001vfD7LQAU,B07P3Y7SY5,0,1,1,5,1,1,B,SG
1.93471E+11,0033g000007wk8jAAA,B09MPNQ3B1,0,0,1,5,7,1,B,MY
2.21005E+11,0033g000008mnB3AAI,B08FRM5P18,0,0,1,5,6,1,B,SG
1882002441,0033g000007em8JAAQ,B09MWNP3VX,0,1,0,0,1,1,D,SG
1.27522E+11,0031R00002AiZ5WQAV,B0927WLXRT,0,1,1,0,7,1,B,SG
1.45075E+11,0031R00002Eijo5QAB,B09KMYJDQG,0,1,1,1,1,1,B,KH
1.91442E+11,0033g00000Cd8wWAAR,B0917S4V6Q,0,1,1,2,3,1,B,SG
39037400702,0033600001XFqEWAA1,B07SB126MY,0,0,1,0,4,0,E,MY
3.67941E+11,0033g00000sk2naAAA,B09MT3F1H9,0,1,1,0,5,1,B,SG
2.0174E+11,0033g0000087tJbAAI,B08ZSFPCC7,0,1,1,5,5,0,B,SG
2.0174E+11,0033g0000087tJbAAI,B08ZSKT8SJ,0,1,1,5,1,0,C,SG
1.0046E+11,0031R000021kc0KQAQ,B089N6L52M,1,1,1,0,8,0,F,PH
3.6612E+11,0033g00000sIOsZAAW,B09LC7K556,1,1,0,0,4,0,F,SG
2.40735E+11,0033g00000CcrxNAAR,B09N384G3H,0,1,0,4,6,1,B,SG
3.74704E+11,0033g00000ud7bsAAA,B09KPFKLWD,0,1,1,0,7,1,B,MY
2.91693E+11,0033g00000KmvJsAAJ,B099NJG6YB,0,1,1,5,5,0,C,SG
2.43207E+11,0033g00000Ceee7AAB,B08HCW2G21,1,1,1,5,5,1,F,SG
1.80347E+11,0033g000005Vje1AAC,B095C5V1SK,0,0,1,5,9,1,B,MY
49850403302,0033600001hgA9pAAE,B09PK9PCKW,1,1,1,0,5,0,F,SG
1.27522E+11,0031R00002AiZ5WQAV,B0927X1NCN,0,1,1,0,6,1,B,SG
4.11183E+11,0033g000012U6kBAAS,B09P3257JN,0,1,1,1,8,1,B,SG
2.59707E+11,0033g00000UUk6IAAT,B08MTFJ7TN,0,0,1,4,6,1,B,SG
2.36731E+11,0033g000009msXzAAI,B08XBD9F5P,0,1,1,0,6,1,C,PH
33701273402,0033600001kXs8gAAC,B09LLSFJTZ,0,1,1,5,7,0,B,MY
27905889915,0031R000025cOW3QAM,B07X94SD4Y,0,0,1,5,6,1,B,SG
393123237,0031R00002IAPlDQAX,B08D3F3SVY,0,0,1,5,6,1,B,SG
37005719402,0033600001VW6iKAAT,B07KBVWK5S,0,1,0,0,5,1,B,ID
39977842705,0031R000020CZ2wQAG,B09GRWHTC1,0,1,1,2,1,1,B,SG
1.0314E+11,0031R000024DfwBQAS,B08CV29BVZ,0,0,1,5,9,1,B,ID
2.36731E+11,0033g000009msXzAAI,B093YFD2CP,0,1,1,6,5,0,B,PH
19967717002,0031R00002AhvYmQAJ,B09MS2RY7Q,0,1,0,0,8,1,B,SG
4.08587E+11,0033g000011uUdYAAU,B09P8XB4NK,0,1,1,1,6,1,B,SG
41958938502,0033g00000XPgXIAA1,B09P17W8WH,0,1,0,0,8,1,B,SG
2.53668E+11,0033g00000DB8C8AAL,B09QHR7RJF,0,1,0,0,1,1,D,SG
1.27532E+11,0033g00000VQKxnAAH,B09B7XX157,0,1,1,5,9,0,B,SG
49850403302,0033600001hgA9pAAE,B09NMHNHZ9,0,1,0,0,4,1,D,SG
509137967,0031R00002B590RQAR,B07Y2Y9XXB,0,0,1,1,2,1,E,SG
1.9092E+11,0033g00000CfENZAA3,B08JKNMVF4,0,0,1,5,8,1,B,SG
1.09404E+11,0031R000025xMaVQAU,B08GZX3S8Z,1,1,1,0,9,0,F,SG
3.92294E+11,0033g00000xeOmMAAU,B09R6TXC68,0,1,1,0,7,0,C,MY
93704659402,0031R00001zxTPDQA2,B07S946KD8,0,0,1,5,6,1,B,PH
1.24389E+11,0031R000029ipeVQAQ,B0897VKMNM,1,1,0,0,7,0,F,PH
53165672202,0033600001jlwZGAAY,B09NMZDS7J,0,0,0,0,1,1,E,SG
1.27532E+11,0033g00000VQKxnAAH,B09B7V76ZX,0,1,1,5,9,0,B,SG
3.90769E+11,0033g00000xclvuAAA,B09SD1XQNM,0,1,1,2,2,1,B,ID
40203513105,0031R000021Asv0QAC,B09C4TRBYF,0,0,1,5,9,1,B,SG
2.40923E+11,0033g00000Cd31LAAR,B092NW5QMK,1,1,1,5,5,1,F,SG
33593517015,0033g000009h00hAAA,B08YNK1F9R,0,0,1,5,9,1,B,SG
